tiempo	front	back	left	right	up	vx	vy	vz
6.88	0.747	2.701	None	1.271	2.272	0.50	0.00	0.02
6.98	0.714	None	1.621	1.276	2.218	0.50	0.00	0.00
7.08	0.702	None	1.645	1.276	2.203	0.50	0.00	-0.01
7.18	0.693	None	1.643	1.297	2.201	0.50	0.00	-0.03
7.28	0.652	None	1.643	1.336	2.169	0.50	0.00	-0.04
7.38	0.597	None	1.645	1.394	2.149	0.50	0.00	-0.04
7.48	0.533	None	1.637	None	2.123	0.50	0.00	-0.05
7.59	0.47	None	1.635	None	2.115	0.50	0.00	-0.05
7.69	0.408	None	1.634	None	2.105	0.50	0.00	-0.05
7.79	0.346	None	1.635	None	2.103	0.50	0.00	-0.06
7.89	0.294	None	1.634	None	2.103	0.50	0.00	-0.06
7.99	0.238	None	1.627	None	2.061	0.50	0.00	-0.06
8.09	0.186	None	1.628	2.533	2.023	0.00	-0.50	-0.06
8.19	None	None	1.623	0.213	None	0.50	0.00	-0.05
8.29	None	None	1.64	0.096	0.512	0.50	0.50	-0.06
8.39	None	None	1.658	0.079	0.461	0.50	0.50	-0.06
8.49	None	None	1.643	0.109	0.472	0.50	0.50	-0.05
8.60	None	None	1.671	0.173	0.461	0.50	0.50	-0.05
8.70	None	None	1.665	2.508	None	0.50	0.00	-0.05
8.80	None	None	1.614	2.527	2.146	0.50	0.00	-0.04
8.90	None	None	1.569	2.562	2.145	0.50	0.00	-0.03
9.00	None	None	1.551	2.61	2.153	0.50	0.00	-0.02
9.10	None	None	1.531	2.632	2.178	0.50	0.00	-0.02
9.21	None	None	1.501	2.648	2.194	0.50	0.00	-0.02
9.31	None	None	1.484	2.641	2.196	0.50	0.00	-0.01
9.41	None	None	1.472	2.627	2.19	0.50	0.00	-0.01
9.52	None	None	1.477	2.592	2.205	0.50	0.00	-0.01
9.63	None	None	1.482	2.504	2.207	0.50	0.00	-0.01
9.73	None	None	1.47	None	2.208	0.50	0.00	-0.01
9.84	None	None	0.572	1.752	2.204	0.50	0.00	-0.01
9.94	None	None	0.505	1.699	2.201	0.50	0.00	-0.01
10.05	None	None	0.505	1.688	2.195	0.50	0.00	-0.01
10.17	None	None	0.495	1.693	2.201	0.50	0.00	-0.01
10.27	None	None	0.49	1.702	2.195	0.50	0.00	-0.01
10.38	None	None	0.487	1.702	2.198	0.50	0.00	-0.02
10.48	None	None	0.482	1.711	2.188	0.50	0.00	-0.02
10.59	None	None	0.485	1.704	2.19	0.50	0.00	-0.02
10.69	None	1.449	0.486	1.701	2.201	0.50	0.00	-0.01
10.79	None	None	0.494	1.704	2.19	0.50	0.00	-0.01
10.90	None	1.52	0.491	1.7	2.197	0.50	0.00	-0.01
11.01	None	1.555	0.507	1.701	2.204	0.50	0.00	-0.01
11.13	None	None	0.514	1.682	2.202	0.50	0.00	-0.00
11.23	None	1.6	0.529	1.663	2.211	0.50	0.00	-0.00
11.33	None	1.613	0.543	1.641	2.222	0.50	0.00	0.00
11.45	None	1.611	0.558	1.627	2.23	0.50	0.00	0.01
11.55	None	None	0.572	1.613	2.236	0.50	0.00	0.01
11.65	None	None	0.585	1.598	2.245	0.50	0.00	0.01
11.75	None	1.538	0.595	1.589	2.239	0.50	0.00	0.01
11.86	None	None	0.607	1.578	2.254	0.50	0.00	0.01
11.96	None	1.487	0.613	1.571	2.249	0.50	0.00	0.01
12.06	None	1.467	0.614	1.56	2.252	0.50	0.00	0.01
12.16	None	None	0.621	1.532	2.256	0.50	0.00	0.01
12.26	None	None	0.617	1.473	2.251	0.50	0.00	0.01
12.36	None	None	0.557	1.417	2.258	0.50	0.00	0.01
12.47	None	None	0.45	1.392	2.255	0.50	0.00	0.01
12.57	None	None	0.417	1.413	2.266	0.50	0.00	0.01
12.67	None	None	0.43	1.482	2.269	0.50	0.00	0.01
12.77	None	None	0.507	1.559	2.272	0.50	0.00	0.01
12.87	None	None	0.596	1.597	2.27	0.50	0.00	0.01
12.97	None	None	0.597	1.603	2.284	0.50	0.00	0.01
13.07	None	None	0.59	1.605	2.271	0.50	0.00	0.01
13.17	None	None	0.586	1.609	2.268	0.50	0.00	0.01
13.27	None	None	0.582	1.612	None	0.50	0.00	0.01
13.37	None	None	0.573	1.624	0.114	0.50	0.00	0.01
